ticker,added,sold,qty
WLL,2018-11-07,2018-11-21,10.0
BYD,2018-10-24,2018-11-28,340.0
BBY,2018-11-07,2018-12-12,140.0
PLAY,2018-10-31,2018-12-12,170.0
KMX,2018-11-07,2019-01-09,140.0
RHI,2018-11-14,2019-01-09,160.0
WTFC,2018-11-21,2019-01-23,130.0
DAL,2019-01-02,2019-01-30,200.0
EA,2018-11-28,2019-02-06,120.0
CE,2018-10-31,2019-02-13,100.0
ODFL,2018-10-31,2019-02-20,120.0
CAT,2018-12-12,2019-02-27,80.0
CSX,2018-10-24,2019-02-27,450.0
ARMK,2019-01-09,2019-03-06,330.0
MPC,2019-01-09,2019-03-06,160.0
PYPL,2018-10-24,2019-03-06,110.0
AL,2018-12-19,2019-03-13,300.0
AMZN,2018-10-24,2019-03-13,10.0
JCOM,2018-11-14,2019-03-20,140.0
CMCSA,2019-01-30,2019-04-03,280.0
RCL,2018-12-05,2019-04-10,90.0
MRVL,2018-12-26,2019-04-17,690.0
BV,2019-02-20,2019-04-24,730.0
CONN,2019-01-23,2019-05-01,540.0
CLDR,2019-01-16,2019-05-08,840.0
CLF,2019-04-22,2019-05-15,1070.0
SNV,2018-12-26,2019-05-22,330.0
R,2018-12-12,2019-05-29,190.0
WBT,2019-02-27,2019-05-29,630.0
STZ,2019-04-10,2019-06-06,50.0
DBX,2018-11-14,2019-06-12,420.0
ENR,2019-02-27,2019-06-19,220.0
CAG,2019-03-27,2019-07-03,370.0
AIMC,2019-01-16,2019-07-10,360.0
TVTY,2019-03-06,2019-07-24,490.0
SSNC,2018-12-05,2019-07-31,220.0
AEO,2018-12-19,2019-08-07,540.0
REZI,2019-05-29,2019-08-14,500.0
YEXT,2019-02-06,2019-08-14,580.0
SRPT,2019-04-03,2019-08-21,80.0
GM,2019-03-13,2019-08-28,260.0
GTLS,2019-05-22,2019-09-04,130.0
MSFT,2018-11-21,2019-09-11,100.0
CLR,2019-05-29,2019-09-18,270.0
FANG,2019-03-20,2019-09-25,100.0
RLJ,2019-06-19,2019-10-02,550.0
PENN,2019-07-31,2019-10-09,500.0
BABA,2018-10-24,2019-10-16,70.0
ATSG,2019-06-06,2019-10-23,440.0
MTZ,2018-10-24,2019-10-30,230.0
UCTT,2019-07-17,2019-11-06,730.0
TPIC,2019-08-14,2019-11-13,540.0
AAL,2019-07-24,2019-11-20,300.0
PM,2019-08-21,2019-11-27,120.0
EVA,2019-07-03,2019-12-04,320.0
URI,2019-09-04,2019-12-04,90.0
EPC,2019-10-02,2019-12-11,320.0
CVS,2019-05-08,2019-12-18,180.0
HSC,2019-09-25,2020-01-01,520.0
FIS,2019-05-15,2020-01-08,90.0
WGO,2019-06-26,2020-01-15,270.0
CTVA,2019-08-28,2020-01-22,350.0
EHTH,2019-11-13,2020-01-29,130.0
MS,2019-10-23,2020-02-12,220.0
KOP,2020-01-08,2020-02-19,280.0
STL,2020-02-05,2020-03-11,480.0
IPG,2020-02-26,2020-03-25,430.0
SYK,2019-12-18,2020-04-08,50.0
FTAI,2019-12-04,2020-04-15,550.0
WBS,2020-02-19,2020-04-29,220.0
HZNP,2019-04-17,2020-05-06,390.0
ENSG,2020-03-18,2020-05-13,380.0
HELE,2019-08-07,2020-05-20,70.0
VICI,2019-09-11,2020-05-27,460.0
BMY,2019-06-12,2020-06-03,210.0
CNC,2019-10-30,2020-06-10,190.0
APPS,2020-02-12,2020-06-17,1660.0
RAMP,2020-04-01,2020-06-24,320.0
TNDM,2019-12-04,2020-07-01,150.0
ADM,2020-03-11,2020-07-08,280.0
HALO,2020-03-25,2020-07-15,600.0
FDX,2020-05-06,2020-07-22,80.0
AGR,2020-07-08,2020-07-29,230.0
ARMK,2020-04-29,2020-08-05,360.0
COP,2019-12-25,2020-08-12,150.0
GRA,2019-11-27,2020-08-19,150.0
CFG,2019-09-18,2020-08-26,280.0
PCRX,2020-05-20,2020-09-02,230.0
SON,2020-04-22,2020-09-09,210.0
SCL,2020-06-24,2020-09-16,110.0
MCHP,2019-08-14,2020-09-23,110.0
WAB,2020-06-03,2020-09-30,160.0
AMSWA,2020-07-01,2020-10-07,630.0
XPER,2020-06-17,2020-10-14,740.0
OMF,2020-03-11,2020-10-21,300.0
DBX,2019-11-20,2020-10-28,530.0
PETQ,2020-07-22,2020-11-04,280.0
NBIX,2020-08-05,2020-11-11,80.0
AES,2020-04-08,2020-11-18,760.0
WCC,2020-08-19,2020-11-25,210.0
OSB,2020-11-11,2020-12-02,30.0
BE,2020-09-09,2020-12-09,710.0
CRUS,2020-05-26,2020-12-16,130.0
WTFC,2020-10-28,2020-12-23,220.0
GIL,2020-11-04,2020-12-30,450.0
LOW,2019-07-10,2021-01-06,100.0
CHGG,2020-09-23,2021-01-13,150.0
K,2020-03-04,2021-01-20,160.0
CALX,2020-07-29,2021-01-27,520.0
ABC,2020-05-13,2021-02-03,110.0
LHX,2019-11-06,2021-02-10,50.0
LNC,2020-07-15,2021-02-17,270.0
SAIC,2020-04-15,2021-02-24,130.0
TTGT,2020-12-16,2021-03-03,190.0
PRGS,2020-10-21,2021-03-10,260.0
J,2020-09-02,2021-03-17,110.0
TAP,2021-01-06,2021-03-24,210.0
SSNC,2020-09-30,2021-03-31,160.0
VTRS,2020-12-23,2021-04-07,560.0
QNST,2020-09-16,2021-04-14,680.0
ACI,2020-10-07,2021-04-21,720.0
REYN,2020-08-26,2021-04-28,300.0
SLQT,2021-02-17,2021-05-05,360.0
DNB,2021-01-27,2021-05-12,420.0
LH,2020-06-10,2021-05-19,60.0
MDT,2020-10-14,2021-05-26,90.0
ANTM,2021-02-24,2021-06-02,30.0
MYE,2020-12-30,2021-06-09,500.0
COLL,2021-01-20,2021-06-16,410.0
NWSA,2021-03-24,2021-06-23,380.0
CLAR,2020-12-02,2021-06-30,680.0
MLI,2021-03-03,2021-07-07,240.0
NLOK,2021-02-10,2021-07-14,450.0
IHRT,2021-04-21,2021-07-21,530.0
HZNP,2020-11-25,2021-07-28,140.0
GFF,2021-01-13,2021-08-04,430.0
